Region,Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
Sonoran SE,SRER,1 BOCU,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,1,PLJAspp,Possibly Pleuraphis jamesii,Native,Perennial,Grass,dependent
Sonoran SE,SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,2,BOCU/BOER4,"BOCUs, or might be BOER4",Native,Perennial,Grass,dependent
Sonoran SE,SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,3 individual ARPUs  and a BOCU,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,3 individual ARPUs  and a BOCU,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,3 small ARPUs 1 on north border of subplot and other 2 in southwest section of plot,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,A couple BOCUs and a possible ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,A couple BOCUs and a possible ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
