PRISM Time Series Data
Location:  Lat: 31.5832   Lon: -110.7350   Elev: 1308m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,28.95,-0.6,8.1,16.7
February,28.28,0.7,9.3,18.0
March,20.27,2.9,12.1,21.2
April,10.03,5.5,15.1,24.8
May,5.47,9.6,19.5,29.3
June,14.97,15.1,24.7,34.3
July,108.83,18.3,25.7,33.2
August,99.90,17.6,24.8,32.0
September,43.69,14.5,22.6,30.7
October,21.42,8.3,17.6,27.0
November,18.00,3.1,12.2,21.4
December,36.04,-0.8,7.8,16.5
Annual,435.85,7.9,16.6,25.4
