CodeOriginal,Name,Region,Site,Duration,Lifeform,Code,Native
BOSPP,"local Bouteloua species (unknown), AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,BOSPP.AguaFria,Native
BOSPP,"local Bouteloua species (unknown), BarTBar",Colorado Plateau,BarTBar,Unknown,Grass,BOSPP.BarTBar,Native
BOSPP,"local Bouteloua species (unknown), FlyingM",Colorado Plateau,FlyingM,Unknown,Grass,BOSPP.FlyingM,Native
BOSPP,"local Bouteloua species (unknown), PEFO",Colorado Plateau,PEFO,Unknown,Grass,BOSPP.PEFO,Native
BOSPP,"local Bouteloua species (unknown), Spiderweb",Colorado Plateau,Spiderweb,Unknown,Grass,BOSPP.Spiderweb,Native
CHEN,"Unknown chenopod, BabbittPJ",Colorado Plateau,BabbittPJ,Unknown,Forb,CHEN.BabbittPJ,Native/Unknown
CHEN,"Unknown chenopod, TLE",Colorado Plateau,TLE,Unknown,Forb,CHEN.TLE,Native/Unknown
CHEN,"Unknown chenopod, MOWE",Colorado Plateau,MOWE,Unknown,Forb,CHEN.MOWE,Native/Unknown
UNDPF,"Unknown dead pod forb, SRER",Sonoran SE,SRER,Unknown,Forb,UNDPF.SRER,Unknown
UNDSF,"Unknown dead spikey forb, SRER",Sonoran SE,SRER,Unknown,Forb,UNDSF.SRER,Unknown
UNFO_P_1,"Unknown forb; small reddish purple rosette with ovate leaves (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_1.Patagonia,Unknown
UNFO_P_2,"Unknown forb; Pinated leaves, upright rosette, lighter green, Ambrosia?  (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_2.Patagonia,Unknown
UNFO_P_3,"Unknown forb; Fabeacea (pea), long and spindly (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_3.Patagonia,Unknown
UNFO_P_4,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_4.Patagonia,Unknown
UNFO_P_5,"Unknown forb; Prominent mid-vein, leaf doesn't completely surround/there's good amount of petiole, ovate leaves that're slightly speckled, oenothera? (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_5.Patagonia,Unknown
UNFO_P_6,"Unknown forb; Super tiny, red thin stem like SAIB but the top leaves are compounded with 3 leaflets, Amaranthaceae? (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_6.Patagonia,Unknown
UNFO_P_7,"Unknown forb; Rosette leaves slightly fuzzy and silvery light green. simple leaves, smells like bandaids (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_7.Patagonia,Unknown
UNFO_S_1,"Unknown forb; Purple vine, sagitate leaves (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Forb,UNFO_S_1.SRER,Unknown
UNFO_S_3,"Unknown forb; Fuzzy green penately arranged leaflets, partially pinated lobes ""thick poppy"" possibly an ambrosia (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Forb,UNFO_S_3.SRER,Unknown
UNFO_S_4,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Forb,UNFO_S_4.SRER,Unknown
UNFO_S_5,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Forb,UNFO_S_5.SRER,Unknown
UNFO_S_7,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Forb,UNFO_S_7.SRER,Unknown
UNFO1,"Unknown forb 1, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO1.AguaFria,Unknown
UNFO1,"Unknown forb 1, BabbittPJ",Colorado Plateau,BabbittPJ,Unknown,Forb,UNFO1.BabbittPJ,Native
UNFO1,"Unknown forb 1, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO1.FlyingM,Unknown
UNFO1,"Unknown forb 1, MOWE",Colorado Plateau,MOWE,Unknown,Forb,UNFO1.MOWE,Unknown
UNFO1,"Unknown forb 1, PEFO",Colorado Plateau,PEFO,Unknown,Forb,UNFO1.PEFO,Unknown
UNFO1,"Unknown forb 1, 29_Palms",Mojave,29_Palms,Unknown,Forb,UNFO1.29_Palms,Unknown
UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO1.Patagonia,Unknown
UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Sonoran SE,SRER,Unknown,Forb,UNFO1.SRER,Unknown
UNFO1A,"Unknown forb (Patagonia, Nov 2019) = Darker Green, 5 petals radiating out, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO1A.Patagonia,Unknown
UNFO2,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO2.Patagonia,Unknown
UNFO2,"Unknown forb 2, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO2.AguaFria,Unknown
UNFO2,"Unknown forb 2, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO2.FlyingM,Unknown
UNFO2,"Unknown forb 2, MOWE",Colorado Plateau,MOWE,Unknown,Forb,UNFO2.MOWE,Unknown
UNFO2,"Unknown forb 2, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO2.Spiderweb,Native
UNFO2,"Unknown forb 2, TLE",Colorado Plateau,TLE,Unknown,Forb,UNFO2.TLE,Unknown
UNFO2,"Unknown forb 2, 29_Palms",Mojave,29_Palms,Unknown,Forb,UNFO2.29_Palms,Unknown
UNFO2,"Unknown forb 2, CRC",Utah,CRC,Unknown,Forb,UNFO2.CRC,Unknown
UNFO2,"Unknown forb 2, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO2.UtahPJ,Unknown
UNFO3,"Unknown forb 3, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO3.AguaFria,Unknown
UNFO3,"Unknown forb 3, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO3.BarTBar,Unknown
UNFO3,"Unknown forb 3, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO3.FlyingM,Unknown
UNFO3,"Unknown forb 3, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO3.Spiderweb,Unknown
UNFO3,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO3.Patagonia,Unknown
UNFO3,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER",Sonoran SE,SRER,Unknown,Forb,UNFO3.SRER,Unknown
UNFO3,"Unknown forb 3, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO3.UtahPJ,Unknown
UNFO3,"Unknown forb 3, CRC",Utah,CRC,Unknown,Forb,UNFO3.CRC,Unknown
UNFO4,"Unknown forb 4, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO4.AguaFria,Unknown
UNFO4,"Unknown forb 4, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO4.BarTBar,Unknown
UNFO4,"Unknown forb 4, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO4.FlyingM,Unknown
UNFO4,"Unknown forb 4, MOWE",Colorado Plateau,MOWE,Unknown,Forb,UNFO4.MOWE,Unknown
UNFO4,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER",Sonoran SE,SRER,Unknown,Forb,UNFO4.SRER,Unknown
UNFO4,"Unknown forb 4, Salt_Desert",Utah,Salt_Desert,Unknown,Forb,UNFO4.Salt_Desert,Unknown
UNFO4,"Unknown forb 4, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO4.UtahPJ,Unknown
UNFO5,"Unknown forb 5, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO5.AguaFria,Unknown
UNFO5,"Unknown forb 5, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO5.FlyingM,Unknown
UNFO5,"Unknown forb 5, MOWE",Colorado Plateau,MOWE,Unknown,Forb,UNFO5.MOWE,Unknown
UNFO5,"Unknown forb 5, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO5.Spiderweb,Unknown
UNFO5,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO5.Patagonia,Unknown
UNFO5,"Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves, SRER",Sonoran SE,SRER,Unknown,Forb,UNFO5.SRER,Unknown
UNFO5,"Unknown forb 5, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO5.UtahPJ,Unknown
UNFO6,"Unknown forb 6, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO6.AguaFria,Unknown
UNFO6,"Unknown forb 6, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO6.FlyingM,Unknown
UNFO6,"Unknown forb 6, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO6.Spiderweb,Unknown
UNFO6,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFO6.Patagonia,Unknown
UNFO6,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER",Sonoran SE,SRER,Unknown,Forb,UNFO6.SRER,Unknown
UNFO6,"Unknown forb 6, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO6.UtahPJ,Unknown
UNFS,"Unknown forb seedling, Patagonia",Sonoran SE,Patagonia,Unknown,Forb,UNFS.Patagonia,Unknown
