CodeOriginal,Lifeform
0,NA
0,NA
0,0
AMCO3,Forb
AMCO3,Grass
ARAD,Grass
ARAD,Forb
ARFR4,Shrub/Subshrub
ARFR4,Shrub
ATCA2,Shrub/Subshrub
ATCA2,Shrub
ATCO,Shrub/Subshrub
ATCO,Shrub
BOCU,Grass
BOCU,Forb
BOSPP,Grass
BOSPP,Forb
CHEN,Forb
CHEN,NA
DICA8,Forb
DICA8,Grass
ELEL5,Grass
ELEL5,C3 grass
GUSA2,Forb
GUSA2,Shrub
HAGL,Forb
HAGL,NA
HAGL,NA
KRLA2,Shrub/Subshrub
KRLA2,Shrub
MAGR10,NA
MAGR10,Forb
MOCE,Forb
MOCE,Grass
S-UNGR2,Grass
S-UNGR2,NA
SATR12,Forb
SATR12,NA
SPSP,Forb
SPSP,NA
Trifolium,Forb
Trifolium,f
UNGR,Grass
UNGR,NA
Unk sp.,NA
Unk sp.,Forb
NA,NA
NA,Forb
