Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix
FlyingM,2018-07-18,2019-06-13T00:00:00Z,36,Pits,Med-Warm
Pleasant,2019-12-19,2021-04-02T00:00:00Z,4,Seed only,Warm
Pleasant,2019-12-19,2021-04-02T00:00:00Z,8,Seed only,Cool
Pleasant,2019-12-19,2021-04-02T00:00:00Z,12,Seed only,Warm
Pleasant,2019-12-19,2021-04-02T00:00:00Z,15,Seed only,Cool
Pleasant,2019-12-19,2021-04-02T00:00:00Z,22,Seed only,Warm
Pleasant,2019-12-19,2021-04-02T00:00:00Z,23,Seed only,Cool
Pleasant,2019-12-19,2021-04-02T00:00:00Z,30,Seed only,Warm
Pleasant,2019-12-19,2021-04-02T00:00:00Z,32,Seed only,Cool
Pleasant,2019-12-19,2021-10-04T00:00:00Z,4,Seed only,Warm
Pleasant,2019-12-19,2021-10-04T00:00:00Z,8,Seed only,Cool
Pleasant,2019-12-19,2021-10-04T00:00:00Z,12,Seed only,Warm
Pleasant,2019-12-19,2021-10-04T00:00:00Z,15,Seed only,Cool
Pleasant,2019-12-19,2021-10-04T00:00:00Z,22,Seed only,Warm
Pleasant,2019-12-19,2021-10-04T00:00:00Z,23,Seed only,Cool
Pleasant,2019-12-19,2021-10-04T00:00:00Z,30,Seed only,Warm
Pleasant,2019-12-19,2021-10-04T00:00:00Z,32,Seed only,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,1,Mulch,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,2,Seed,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,3,Pits,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,4,ConMod,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,5,Control,None
Preserve,2019-09-25,2020-03-26T00:00:00Z,6,Seed,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,7,Pits,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,8,Control,None
Preserve,2019-09-25,2020-03-26T00:00:00Z,9,Mulch,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,10,Seed,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,11,Seed,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,12,ConMod,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,13,Mulch,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,14,ConMod,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,15,Seed,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,16,Pits,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,17,ConMod,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,18,Pits,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,19,Mulch,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,20,ConMod,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,21,Seed,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,22,Pits,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,23,Seed,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,24,ConMod,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,25,Mulch,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,26,ConMod,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,27,Pits,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,28,Mulch,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,29,Control,None
Preserve,2019-09-25,2020-03-26T00:00:00Z,30,Pits,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,31,Mulch,Cool
Preserve,2019-09-25,2020-03-26T00:00:00Z,32,Seed,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,33,Mulch,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,34,ConMod,Warm
Preserve,2019-09-25,2020-03-26T00:00:00Z,35,Control,None
Preserve,2019-09-25,2020-03-26T00:00:00Z,36,Pits,Warm
Preserve,2019-11-25,2021-03-30T00:00:00Z,2,Seed only,Cool
