Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,MonitorID
Mojave,AVRCD,2020-03-17,2020-04-30,14,Seed,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,1,ConMod,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,2,Mulch,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,3,Mulch,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,4,Pellets,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,5,Pits,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,6,Mulch,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,7,Seed,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,8,Pellets,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,9,Pits,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,10,Mulch,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,11,Pits,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,12,Seed,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,13,Control,None,NA
Mojave,AVRCD,2020-03-17,2021-04-06,14,Seed,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,15,Pellets,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,16,Pits,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,17,Control,None,NA
Mojave,AVRCD,2020-03-17,2021-04-06,18,Control,None,NA
Mojave,AVRCD,2020-03-17,2021-04-06,19,Pellets,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,20,ConMod,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,21,Pellets,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,22,ConMod,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,23,Mulch,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,24,Seed,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,25,ConMod,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,26,ConMod,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,27,Seed,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,28,Pits,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,29,Seed,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,30,ConMod,Warm,NA
Mojave,AVRCD,2020-03-17,2021-04-06,31,Seed,Cool,NA
Mojave,AVRCD,2020-03-17,2021-04-06,32,Control,None,NA
