PRISM Time Series Data
Location:  Lat: 35.6018   Lon: -111.9351   Elev: 1981m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-06-14 - 2020-07-14
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-06-14,0.00,7.8,18.9,30.1
2019-06-15,0.00,7.2,17.3,27.5
2019-06-16,0.00,7.8,17.7,27.6
2019-06-17,0.95,8.1,17.8,27.5
2019-06-18,0.00,7.0,17.1,27.3
2019-06-19,0.00,6.6,17.1,27.6
2019-06-20,0.00,6.6,17.8,28.9
2019-06-21,0.00,8.7,18.1,27.6
2019-06-22,0.00,9.0,17.3,25.5
2019-06-23,0.00,4.8,14.6,24.5
2019-06-24,0.00,2.6,14.0,25.3
2019-06-25,0.00,4.2,16.0,27.7
2019-06-26,0.00,5.8,17.0,28.2
2019-06-27,0.00,7.7,17.0,26.3
2019-06-28,0.00,8.3,18.5,28.8
2019-06-29,0.00,8.7,19.9,31.1
2019-06-30,0.00,11.8,21.9,32.0
2019-07-01,0.00,11.1,20.3,29.6
2019-07-02,0.00,9.6,20.5,31.4
2019-07-03,0.00,8.6,18.9,29.3
2019-07-04,0.00,7.9,18.2,28.6
2019-07-05,0.00,7.8,18.3,28.8
2019-07-06,0.00,7.7,18.5,29.3
2019-07-07,0.00,7.9,18.8,29.6
2019-07-08,0.00,8.7,18.5,28.3
2019-07-09,0.00,6.2,16.7,27.3
2019-07-10,0.00,7.0,18.3,29.6
2019-07-11,0.00,8.9,20.4,31.9
2019-07-12,0.00,11.6,21.9,32.1
2019-07-13,1.72,14.3,22.7,31.1
2019-07-14,0.35,14.0,22.4,30.8
2019-07-15,0.62,12.7,21.8,30.8
2019-07-16,0.00,12.6,22.6,32.5
2019-07-17,0.00,12.4,22.7,33.0
2019-07-18,0.00,11.7,21.1,30.5
2019-07-19,0.00,12.0,22.0,32.1
2019-07-20,0.00,11.3,21.0,30.6
2019-07-21,0.00,11.2,21.5,31.8
2019-07-22,0.00,10.9,21.7,32.6
2019-07-23,0.17,13.3,22.9,32.5
2019-07-24,1.90,15.3,22.0,28.6
2019-07-25,3.71,13.7,21.1,28.5
2019-07-26,0.44,12.9,21.6,30.3
2019-07-27,1.35,12.9,21.8,30.8
2019-07-28,0.00,12.8,22.7,32.5
