PRISM Time Series Data
Location:  Lat: 39.2284   Lon: -109.0014   Elev: 1483m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2018-11-27 - 2018-12-12
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2018-11-27,0.00,-7.0,-0.5,6.1
2018-11-28,0.00,-6.1,-0.1,6.0
2018-11-29,0.00,-4.3,-0.4,3.5
2018-11-30,2.19,-1.3,3.1,7.5
2018-12-01,1.70,-0.5,3.4,7.4
2018-12-02,0.00,-3.5,1.0,5.6
2018-12-03,4.09,-6.3,-3.6,-0.8
2018-12-04,0.01,-11.6,-5.8,-0.0
2018-12-05,0.00,-11.4,-5.9,-0.4
2018-12-06,0.00,-6.9,-3.8,-0.7
2018-12-07,0.00,-5.0,-2.6,-0.2
2018-12-08,0.00,-3.9,1.1,6.0
2018-12-09,0.00,-4.4,0.7,5.7
2018-12-10,0.00,-5.3,1.0,7.3
2018-12-11,0.00,-6.3,-1.0,4.3
2018-12-12,0.00,-5.9,0.6,7.2
