PRISM Time Series Data
Location:  Lat: 38.2945   Lon: -109.0645   Elev: 2261m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,32.77,-7.8,-2.3,3.2
February,32.12,-6.3,-0.7,5.0
March,25.97,-2.9,3.5,9.8
April,28.59,-0.1,6.9,13.9
May,27.82,4.9,12.2,19.5
June,18.08,10.2,18.2,26.2
July,38.87,13.6,21.4,29.2
August,37.02,12.8,20.2,27.6
September,38.32,8.8,16.1,23.3
October,42.40,2.6,9.4,16.2
November,25.72,-3.2,2.6,8.4
December,32.75,-7.6,-2.3,3.0
Annual,380.43,2.1,8.8,15.4
