PRISM Time Series Data
Location:  Lat: 34.6467   Lon: -111.7665   Elev: 1082m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,34.74,-1.7,6.6,15.0
February,39.21,-0.2,8.3,16.9
March,37.41,2.5,11.4,20.3
April,15.22,5.4,15.0,24.5
May,10.79,9.6,19.5,29.5
June,3.54,14.0,24.8,35.6
July,46.84,18.6,27.8,37.1
August,57.55,18.2,27.0,35.8
September,38.24,14.0,23.5,32.9
October,27.79,7.3,17.3,27.2
November,22.83,1.5,10.8,20.2
December,36.83,-2.2,6.1,14.3
Annual,370.98,7.3,16.5,25.8
