PRISM Time Series Data
Location:  Lat: 34.1716   Lon: -112.1220   Elev: 982m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,55.14,3.7,9.8,15.9
February,52.08,4.5,10.7,17.0
March,38.71,6.7,13.5,20.4
April,12.19,9.3,16.7,24.1
May,7.02,13.7,21.5,29.3
June,3.14,18.8,27.0,35.1
July,40.66,22.3,29.6,36.8
August,46.01,21.9,28.8,35.8
September,37.58,18.9,26.0,33.0
October,26.16,13.2,20.2,27.1
November,27.77,7.6,14.2,20.9
December,47.91,3.6,9.5,15.5
Annual,394.36,12.0,19.0,25.9
